"Year","TCB_mean","TCB_median","TCB_sd","LME"
2013,322.305022370443,310.767364501953,82.4386142589452,"21"
2014,346.863871744591,336.168426513672,83.3197593788595,"21"
1950,144.349788987467,59.5414543151855,172.971234552227,"28"
1951,137.733895191144,58.7243270874023,165.914640365149,"28"
1952,147.369066918186,63.5835609436035,167.076547052352,"28"
1953,129.117679409733,60.0626525878906,159.726102642551,"28"
1954,161.918296514086,72.7673110961914,176.497835194793,"28"
1955,128.960050818142,55.3639183044434,159.841304014554,"28"
1956,133.7518288767,65.2031936645508,154.114185944502,"28"
1957,165.48372225594,78.644775390625,173.486999745808,"28"
1958,126.385753130381,60.7790718078613,151.653808921141,"28"
1959,158.033893763368,76.3190383911133,169.19800871595,"28"
1960,151.928009772403,67.4030227661133,167.583857233461,"28"
1961,129.965982586075,57.9297332763672,159.860336189121,"28"
1962,131.507209228669,59.5471076965332,161.249985791535,"28"
1963,147.471768444592,63.8749656677246,170.974611152108,"28"
1964,137.566007858948,56.9886589050293,164.350438300921,"28"
1965,135.789645854252,55.9259185791016,167.615722547531,"28"
1966,145.176120474364,68.0756988525391,159.706692374448,"28"
1967,125.900984235561,58.9663009643555,156.883142455307,"28"
1968,147.036594911786,69.6312561035156,169.169859737068,"28"
1969,150.702033561092,58.3313140869141,180.778828029118,"28"
1970,142.646077532296,59.8890113830566,165.931905796463,"28"
1971,133.597689043072,55.3639183044434,163.381830095666,"28"
1972,139.883422604411,69.1322784423828,158.467877316666,"28"
1973,120.642520959829,53.6334037780762,151.746614228678,"28"
1974,126.647218661822,53.7579002380371,166.187631586952,"28"
1975,115.488277755146,55.0551452636719,148.282097382271,"28"
1976,137.484195392223,60.1729621887207,163.730810578943,"28"
1977,141.085675224011,70.538948059082,153.492699312111,"28"
1978,107.729909965381,47.6036415100098,150.266993088891,"28"
1979,112.234239568936,50.0086708068848,151.192138470527,"28"
1980,151.797313087879,65.321174621582,171.510285124045,"28"
1981,127.464900148804,58.7335357666016,152.059798378731,"28"
1982,132.213124386275,64.7574691772461,158.279169247345,"28"
1983,123.311131107305,59.0181465148926,151.375033590923,"28"
1984,170.069941286727,87.7141799926758,172.519800867053,"28"
1985,121.997110855052,56.4707260131836,151.557045469583,"28"
1986,138.716923643221,60.005069732666,159.200278293925,"28"
1987,126.15183150747,55.3089981079102,159.770500907207,"28"
1988,112.636451445603,53.0392837524414,147.084969574457,"28"
1989,109.889810208125,47.8484840393066,147.332707989112,"28"
1990,151.165113723052,65.2031936645508,168.866868725123,"28"
1991,144.779859635139,59.2563552856445,169.09849494586,"28"
1992,142.869765542314,60.1459465026855,169.905151427853,"28"
1993,167.937237554825,72.2886581420898,178.692207536168,"28"
1994,122.455152143911,54.2123832702637,158.898274396408,"28"
1995,127.034969074344,55.0551452636719,157.626838666171,"28"
1996,143.491614904767,61.4944496154785,163.818941737287,"28"
1997,134.164486388772,60.2416534423828,166.061515601639,"28"
1998,142.056282156498,61.8366928100586,165.490220592807,"28"
1999,153.086239027998,71.0644683837891,168.837450895873,"28"
2000,128.801824700977,60.005069732666,155.310384643566,"28"
2001,126.351732180503,59.3927917480469,152.596976937784,"28"
2002,107.905460562256,53.7904663085938,140.611015524795,"28"
2003,125.252137279853,52.2813148498535,162.549641804554,"28"
2004,115.369966163153,53.3190269470215,153.679459770014,"28"
2005,133.336528362624,59.3857955932617,157.084819152391,"28"
2006,129.537690905203,56.427131652832,158.559896707536,"28"
2007,122.043886116349,54.5850715637207,157.922018492527,"28"
2008,121.665956008209,56.3933372497559,151.280052013942,"28"
2009,125.756768372063,56.5660400390625,155.320988605032,"28"
2010,124.871031378556,58.778148651123,154.988527131797,"28"
2011,127.474387617266,62.9605331420898,152.104431203439,"28"
2012,117.091414502753,54.1499443054199,145.39182614637,"28"
2013,107.903641355413,46.3915634155273,145.401580462044,"28"
2014,119.611362173435,53.3588790893555,156.365835513899,"28"
