"Year","TCB_mean","TCB_median","TCB_sd","LME","LME_name"
1976,24.3696695927929,17.7365188598633,26.544691902334,"28","Guinean Current"
1977,25.6141948469612,18.5425796508789,27.9269436470322,"28","Guinean Current"
1978,25.7021782225259,18.589298248291,27.0895092600057,"28","Guinean Current"
1979,24.9078079351482,17.9283714294434,27.6066051426746,"28","Guinean Current"
1980,24.9636279349975,17.7141990661621,27.4827772618347,"28","Guinean Current"
1981,25.5921141874137,18.0826320648193,28.658875348919,"28","Guinean Current"
1982,25.4524831662602,18.5500469207764,27.8409677823533,"28","Guinean Current"
1983,26.0116200842452,18.3824100494385,28.0468598388152,"28","Guinean Current"
1984,25.8851027866607,18.1450061798096,27.3591522185485,"28","Guinean Current"
1985,27.2453747965758,19.5548305511475,28.7329691532175,"28","Guinean Current"
1986,25.7597478422345,18.4417457580566,27.3088679855588,"28","Guinean Current"
1987,26.159955760602,18.895263671875,27.7789400566392,"28","Guinean Current"
1988,25.6470425177616,18.3489570617676,27.9284083733783,"28","Guinean Current"
1989,24.4604913806203,17.880033493042,26.5618410756224,"28","Guinean Current"
1990,23.7512611612911,16.7224502563477,25.7799141305155,"28","Guinean Current"
1991,26.0731862980644,18.6473770141602,27.6265208242262,"28","Guinean Current"
1992,25.7826982346528,18.2372283935547,28.6218544014259,"28","Guinean Current"
1993,25.7743225516928,18.2646942138672,28.7490323509471,"28","Guinean Current"
1994,26.7853961410537,19.3476047515869,29.1563916034802,"28","Guinean Current"
1995,25.7340371918469,18.36692237854,28.5483459847238,"28","Guinean Current"
1996,25.4231853592277,17.8044776916504,27.9819548929703,"28","Guinean Current"
1997,25.5906573002094,18.3115406036377,28.004495476658,"28","Guinean Current"
1998,24.3213856799069,17.3888187408447,27.6393004027949,"28","Guinean Current"
1999,25.2696593674072,18.0485763549805,27.3664332842956,"28","Guinean Current"
2000,26.2736935275157,18.7786674499512,28.5185791493917,"28","Guinean Current"
2001,25.5643865292878,18.3783779144287,27.6880722600382,"28","Guinean Current"
2002,24.6891157783077,17.8953266143799,27.0057572367247,"28","Guinean Current"
2003,24.4400064095909,17.356481552124,26.6242974205572,"28","Guinean Current"
2004,24.4255446813733,17.2701835632324,27.173506399578,"28","Guinean Current"
2005,23.9531865425911,17.1798210144043,27.0303813302368,"28","Guinean Current"
2006,24.5873802784711,17.6436748504639,26.9101602761299,"28","Guinean Current"
2007,24.682999810173,17.7089080810547,27.3259014931489,"28","Guinean Current"
2008,24.4447620224799,17.3631763458252,27.6082940449488,"28","Guinean Current"
2009,24.8812464997808,17.9619331359863,27.9346750498475,"28","Guinean Current"
2010,24.9207598309551,17.9029979705811,27.9170819109952,"28","Guinean Current"
2011,24.5673565253183,17.4908676147461,27.7381349547207,"28","Guinean Current"
2012,24.2083055913457,17.5064258575439,26.6778256726947,"28","Guinean Current"
2013,24.154783792132,17.2092037200928,26.3378595445495,"28","Guinean Current"
2014,23.1279344807417,16.6168575286865,26.3938441350329,"28","Guinean Current"
2015,22.7100391553759,16.0390243530273,26.3402767980243,"28","Guinean Current"
