"","LME","LME_name","Year","TCB_mean","TCB_median","TCB_sd"
"113",28,"Guinea Current",1997,6.94097130582445,5.67072928151277,4.22684148887072
"114",28,"Guinea Current",1998,6.65263763368906,5.57420526677759,4.03455230251875
"115",28,"Guinea Current",1999,7.33319646914554,5.80116447605444,4.31398616904467
"116",28,"Guinea Current",2000,6.97760148715944,5.8075058844897,3.94411882262981
"117",28,"Guinea Current",2001,6.67573711601445,5.66376980559587,3.9210674662616
"118",28,"Guinea Current",2002,6.47187429112669,5.49906254274854,3.87667113829031
"119",28,"Guinea Current",2003,6.49838324644651,5.34244515348036,3.89893158724257
"120",28,"Guinea Current",2004,6.5192498402628,5.21762667896454,4.36052740814085
"121",28,"Guinea Current",2005,6.62022850599865,5.49183593896831,3.95086697359967
"122",28,"Guinea Current",2006,6.66219309136274,5.45813657580612,3.85364425494278
"123",28,"Guinea Current",2007,6.5108626454808,5.47687845763662,4.0096562077345
"124",28,"Guinea Current",2008,6.58730821960476,5.22058460048329,4.24870201236578
"125",28,"Guinea Current",2009,6.51012934308395,5.29046347739766,3.94927767191228
"126",28,"Guinea Current",2010,6.62694378795605,5.35479020369327,3.96657760752187
"127",28,"Guinea Current",2011,6.51643335875576,5.1512955050693,3.94300908232893
"128",28,"Guinea Current",2012,6.321371902707,5.15372476315627,3.71255758989442
"129",28,"Guinea Current",2013,5.95455362388226,4.80527639855174,3.61400927519338
"130",28,"Guinea Current",2014,5.80635201888454,4.51554390167343,3.85103864408585
"131",14,"Patagonian Shelf",1950,24.6838026569339,25.6968710278124,11.9562125621053
"132",14,"Patagonian Shelf",1951,25.1504489625195,26.6292043608078,11.8129230780545
"133",14,"Patagonian Shelf",1952,25.8120613570513,26.9902973892078,11.918603361136
"134",14,"Patagonian Shelf",1953,25.7162370102235,26.9029286206295,12.0643926634116
"135",14,"Patagonian Shelf",1954,25.8944094689369,27.66814648995,11.977369185956
"136",14,"Patagonian Shelf",1955,25.4687170216231,26.3487852142507,12.0230771085592
"137",14,"Patagonian Shelf",1956,25.222880092264,26.4507988258201,11.993457450526
"138",14,"Patagonian Shelf",1957,25.380662283856,26.6790226832407,11.9507479590642
"139",14,"Patagonian Shelf",1958,25.8441762942183,27.503534198717,11.9634430349159
"140",14,"Patagonian Shelf",1959,25.7171427244639,26.8158033901097,11.9213184251867
"141",14,"Patagonian Shelf",1960,25.7710670636828,26.8896816519353,12.0352757195344
"142",14,"Patagonian Shelf",1961,25.9868548036335,26.8139492510594,12.0699977480818
"143",14,"Patagonian Shelf",1962,25.5994877832262,26.9746101608774,12.1584175348159
"144",14,"Patagonian Shelf",1963,25.7147764452438,26.9817173711768,12.0042799901064
"145",14,"Patagonian Shelf",1964,25.4259671006304,27.109489008653,11.9656614824106
"146",14,"Patagonian Shelf",1965,26.0101096900742,27.5056870559624,12.1116736640479
"147",14,"Patagonian Shelf",1966,25.8560032144668,27.3907686063069,12.1482402351989
"148",14,"Patagonian Shelf",1967,26.0114725543311,27.4774851253983,12.1730333287015
